timestamp,heart rate,temperature,enhanced altitude
2024-08-03T09:10:15.000Z,79,,
2024-08-03T09:10:16.000Z,79,,
2024-08-03T09:10:17.000Z,80,,
2024-08-03T09:10:18.000Z,80,,
2024-08-03T09:10:19.000Z,80,,
2024-08-03T09:10:20.000Z,80,,
2024-08-03T09:10:21.000Z,80,,
2024-08-03T09:10:22.000Z,80,,
2024-08-03T09:10:23.000Z,79,32,222.6
2024-08-03T09:10:24.000Z,79,32,222.6
2024-08-03T09:10:25.000Z,80,32,222.6
2024-08-03T09:10:26.000Z,80,32,222.6
2024-08-03T09:10:27.000Z,80,32,222.6
2024-08-03T09:10:28.000Z,81,32,222.6
2024-08-03T09:10:29.000Z,82,32,222.6
2024-08-03T09:10:30.000Z,83,32,222.6
2024-08-03T09:10:31.000Z,83,32,222.6
2024-08-03T09:10:32.000Z,82,32,222.6
2024-08-03T09:10:33.000Z,84,32,222.6
2024-08-03T09:10:34.000Z,84,32,222.6
2024-08-03T09:10:35.000Z,85,32,222.6
2024-08-03T09:10:36.000Z,86,32,222.6
2024-08-03T09:10:37.000Z,88,32,222.6
2024-08-03T09:10:38.000Z,88,32,222.6
2024-08-03T09:10:39.000Z,89,32,222.6
2024-08-03T09:10:40.000Z,89,32,222.6
2024-08-03T09:10:41.000Z,88,32,222.6
2024-08-03T09:10:42.000Z,90,32,222.6
2024-08-03T09:10:43.000Z,91,32,222.6
2024-08-03T09:10:44.000Z,92,32,222.6
2024-08-03T09:10:45.000Z,92,32,222.6
2024-08-03T09:10:46.000Z,91,32,222.6
2024-08-03T09:10:47.000Z,92,32,222.6
2024-08-03T09:10:48.000Z,92,32,222.6
2024-08-03T09:10:49.000Z,94,32,222.6
2024-08-03T09:10:50.000Z,94,32,222.6
2024-08-03T09:10:51.000Z,94,32,222.6
2024-08-03T09:10:52.000Z,94,32,222.6
2024-08-03T09:10:53.000Z,96,32,222.6
2024-08-03T09:10:54.000Z,94,31,222.6
2024-08-03T09:10:55.000Z,95,31,222.6
2024-08-03T09:10:56.000Z,95,31,222.6
2024-08-03T09:10:57.000Z,95,31,222.6
2024-08-03T09:10:58.000Z,96,31,222.6
2024-08-03T09:10:59.000Z,96,31,222.6
2024-08-03T09:11:00.000Z,,31,222.6
2024-08-03T09:11:01.000Z,96,31,222.6
2024-08-03T09:11:02.000Z,,31,222.6
2024-08-03T09:11:03.000Z,96,31,222.6
2024-08-03T09:11:04.000Z,,31,222.6
2024-08-03T09:11:05.000Z,98,31,222.6
2024-08-03T09:11:06.000Z,,31,222.6
2024-08-03T09:11:07.000Z,97,31,222.6
2024-08-03T09:11:08.000Z,,31,222.6
2024-08-03T09:11:09.000Z,95,31,222.6
2024-08-03T09:11:10.000Z,,31,222.6
2024-08-03T09:11:11.000Z,96,31,222.6
2024-08-03T09:11:12.000Z,,31,222.6
2024-08-03T09:11:13.000Z,94,31,222.6
2024-08-03T09:11:14.000Z,,31,222.6
2024-08-03T09:11:15.000Z,96,31,222.6
2024-08-03T09:11:16.000Z,,31,222.6
2024-08-03T09:11:17.000Z,97,31,222.6
2024-08-03T09:11:18.000Z,,31,222.6
2024-08-03T09:11:19.000Z,96,31,222.6
2024-08-03T09:11:20.000Z,,31,222.6
2024-08-03T09:11:21.000Z,99,31,222.6
2024-08-03T09:11:22.000Z,,31,222.6
2024-08-03T09:11:23.000Z,101,31,222.6
2024-08-03T09:11:24.000Z,,31,222.6
2024-08-03T09:11:25.000Z,101,31,222.6
2024-08-03T09:11:26.000Z,,31,222.6
2024-08-03T09:11:27.000Z,102,31,222.6
2024-08-03T09:11:28.000Z,,31,222.6
2024-08-03T09:11:29.000Z,99,31,222.6
2024-08-03T09:11:30.000Z,,31,222.6
2024-08-03T09:11:31.000Z,99,31,222.6
2024-08-03T09:11:32.000Z,,31,222.6
2024-08-03T09:11:33.000Z,97,31,222.6
2024-08-03T09:11:34.000Z,,31,222.6
2024-08-03T09:11:35.000Z,97,31,222.6
2024-08-03T09:11:36.000Z,,31,222.6
2024-08-03T09:11:37.000Z,96,31,222.6
2024-08-03T09:11:38.000Z,,31,222.6
2024-08-03T09:11:39.000Z,98,31,222.6
2024-08-03T09:11:40.000Z,,31,222.6
2024-08-03T09:11:41.000Z,96,31,222.6
2024-08-03T09:11:42.000Z,,31,222.6
2024-08-03T09:11:43.000Z,97,31,222.6
2024-08-03T09:11:44.000Z,,31,222.6
2024-08-03T09:11:45.000Z,98,31,222.6
2024-08-03T09:11:46.000Z,,31,222.6
2024-08-03T09:11:47.000Z,100,31,222.6
2024-08-03T09:11:48.000Z,,31,222.6
2024-08-03T09:11:49.000Z,98,31,222.6
2024-08-03T09:11:50.000Z,,31,222.6
2024-08-03T09:11:51.000Z,98,31,222.6
2024-08-03T09:11:52.000Z,,31,222.6
2024-08-03T09:11:53.000Z,98,31,222.6
2024-08-03T09:11:54.000Z,,31,222.6
2024-08-03T09:11:55.000Z,98,31,222.6
2024-08-03T09:11:56.000Z,,31,222.6
2024-08-03T09:11:57.000Z,99,31,222.6
2024-08-03T09:11:58.000Z,,31,222.6
2024-08-03T09:11:59.000Z,99,31,222.6
2024-08-03T09:12:00.000Z,,31,222.6
2024-08-03T09:12:01.000Z,102,31,222.6
2024-08-03T09:12:02.000Z,,31,222.6
2024-08-03T09:12:03.000Z,102,31,222.6
2024-08-03T09:12:04.000Z,,31,222.6
2024-08-03T09:12:05.000Z,100,31,222.6
2024-08-03T09:12:06.000Z,,31,222.6
2024-08-03T09:12:07.000Z,101,31,222.6
2024-08-03T09:12:08.000Z,,31,222.6
2024-08-03T09:12:09.000Z,100,31,222.6
2024-08-03T09:12:10.000Z,,31,222.6
2024-08-03T09:12:11.000Z,102,31,222.6
2024-08-03T09:12:12.000Z,,31,222.6
2024-08-03T09:12:13.000Z,100,31,222.6
2024-08-03T09:12:14.000Z,,31,222.6
2024-08-03T09:12:15.000Z,97,31,222.6
2024-08-03T09:12:16.000Z,,31,222.6
2024-08-03T09:12:17.000Z,97,31,222.6
2024-08-03T09:12:18.000Z,,31,222.6
2024-08-03T09:12:19.000Z,96,31,222.6
2024-08-03T09:12:20.000Z,,31,222.6
2024-08-03T09:12:21.000Z,95,31,222.6
2024-08-03T09:12:22.000Z,,31,222.6
2024-08-03T09:12:23.000Z,94,31,222.6
2024-08-03T09:12:24.000Z,,31,222.6
2024-08-03T09:12:25.000Z,94,31,222.6
2024-08-03T09:12:26.000Z,,31,222.6
2024-08-03T09:12:27.000Z,94,31,222.6
2024-08-03T09:12:28.000Z,,31,222.6
2024-08-03T09:12:29.000Z,94,31,222.6
2024-08-03T09:12:30.000Z,,31,222.6
2024-08-03T09:12:31.000Z,92,31,222.6
2024-08-03T09:12:32.000Z,,31,222.6
2024-08-03T09:12:33.000Z,93,31,222.6
2024-08-03T09:12:34.000Z,,31,222.6
2024-08-03T09:12:35.000Z,94,31,222.6
2024-08-03T09:12:36.000Z,,31,222.6
2024-08-03T09:12:37.000Z,94,31,222.6
2024-08-03T09:12:38.000Z,,31,222.6
2024-08-03T09:12:39.000Z,94,31,222.6
2024-08-03T09:12:40.000Z,,31,222.6
2024-08-03T09:12:41.000Z,92,31,222.6
2024-08-03T09:12:42.000Z,,31,222.6
2024-08-03T09:12:43.000Z,92,31,222.6
2024-08-03T09:12:44.000Z,,31,222.6
2024-08-03T09:12:45.000Z,91,31,222.6
2024-08-03T09:12:46.000Z,,31,222.6
2024-08-03T09:12:47.000Z,90,31,222.6
2024-08-03T09:12:48.000Z,,31,222.6
2024-08-03T09:12:49.000Z,90,31,222.6
2024-08-03T09:12:50.000Z,,31,222.6
2024-08-03T09:12:51.000Z,88,31,222.6
2024-08-03T09:12:52.000Z,,31,222.6
2024-08-03T09:12:53.000Z,87,31,222.6
2024-08-03T09:12:54.000Z,,31,222.6
2024-08-03T09:12:55.000Z,87,31,222.6
2024-08-03T09:12:56.000Z,,31,222.6
2024-08-03T09:12:57.000Z,88,31,222.6
2024-08-03T09:12:58.000Z,,31,222.6
2024-08-03T09:12:59.000Z,87,31,222.6
2024-08-03T09:13:00.000Z,,31,222.6
2024-08-03T09:13:01.000Z,88,31,222.6
2024-08-03T09:13:02.000Z,,31,222.6
2024-08-03T09:13:03.000Z,89,31,222.6
2024-08-03T09:13:04.000Z,,31,222.6
2024-08-03T09:13:05.000Z,90,31,222.6
2024-08-03T09:13:06.000Z,,31,222.6
2024-08-03T09:13:07.000Z,89,31,222.6
2024-08-03T09:13:08.000Z,,31,222.6
2024-08-03T09:13:09.000Z,91,31,222.6
2024-08-03T09:13:10.000Z,,31,222.6
2024-08-03T09:13:11.000Z,92,31,222.6
2024-08-03T09:13:12.000Z,,31,222.6
2024-08-03T09:13:13.000Z,92,31,222.6
2024-08-03T09:13:14.000Z,,31,222.6
2024-08-03T09:13:15.000Z,91,31,222.6
2024-08-03T09:13:16.000Z,,31,222.6
2024-08-03T09:13:17.000Z,91,31,222.6
2024-08-03T09:13:18.000Z,,31,222.6
2024-08-03T09:13:19.000Z,91,31,222.6
2024-08-03T09:13:20.000Z,,31,222.6
2024-08-03T09:13:21.000Z,91,31,222.6
2024-08-03T09:13:22.000Z,,31,222.6
2024-08-03T09:13:23.000Z,90,31,222.6
2024-08-03T09:13:24.000Z,,31,222.6
2024-08-03T09:13:25.000Z,88,31,222.6
2024-08-03T09:13:26.000Z,,31,222.6
2024-08-03T09:13:27.000Z,89,31,222.6
2024-08-03T09:13:28.000Z,,31,222.6
2024-08-03T09:13:29.000Z,89,31,222.6
2024-08-03T09:13:30.000Z,,31,222.6
2024-08-03T09:13:31.000Z,90,31,222.6
2024-08-03T09:13:32.000Z,,31,222.6
2024-08-03T09:13:33.000Z,91,31,222.6
2024-08-03T09:13:34.000Z,,31,222.6
2024-08-03T09:13:35.000Z,91,31,222.6
2024-08-03T09:13:36.000Z,,31,222.6
2024-08-03T09:13:37.000Z,92,31,222.6
2024-08-03T09:13:38.000Z,,31,222.6
2024-08-03T09:13:39.000Z,93,31,222.6
2024-08-03T09:13:40.000Z,,31,222.6
2024-08-03T09:13:41.000Z,96,31,222.6
2024-08-03T09:13:42.000Z,,31,222.6
2024-08-03T09:13:43.000Z,96,31,222.6
2024-08-03T09:13:44.000Z,,31,222.6
2024-08-03T09:13:45.000Z,96,31,222.6
2024-08-03T09:13:46.000Z,,31,222.6
2024-08-03T09:13:47.000Z,93,31,222.6
2024-08-03T09:13:48.000Z,,31,222.6
2024-08-03T09:13:49.000Z,93,31,222.6
2024-08-03T09:13:50.000Z,,31,222.6
2024-08-03T09:13:51.000Z,95,31,222.6
2024-08-03T09:13:52.000Z,,31,222.6
2024-08-03T09:13:53.000Z,95,31,222.6
2024-08-03T09:13:54.000Z,,31,222.6
2024-08-03T09:13:55.000Z,95,31,222.6
2024-08-03T09:13:56.000Z,,31,222.6
2024-08-03T09:13:57.000Z,98,31,222.6
2024-08-03T09:13:58.000Z,,31,222.6
2024-08-03T09:13:59.000Z,98,31,222.6
2024-08-03T09:14:00.000Z,,31,222.6
2024-08-03T09:14:01.000Z,101,31,222.6
2024-08-03T09:14:02.000Z,,31,222.6
2024-08-03T09:14:03.000Z,102,31,222.6
2024-08-03T09:14:04.000Z,,31,222.6
2024-08-03T09:14:05.000Z,108,31,222.6
2024-08-03T09:14:06.000Z,,31,222.6
2024-08-03T09:14:07.000Z,110,31,222.6
2024-08-03T09:14:08.000Z,,31,222.6
2024-08-03T09:14:09.000Z,108,31,222.6
2024-08-03T09:14:10.000Z,,31,222.6
2024-08-03T09:14:11.000Z,108,31,222.6
2024-08-03T09:14:12.000Z,,31,222.6
2024-08-03T09:14:13.000Z,107,31,222.6
2024-08-03T09:14:14.000Z,,31,222.6
2024-08-03T09:14:15.000Z,106,31,222.6
2024-08-03T09:14:16.000Z,,31,222.6
2024-08-03T09:14:17.000Z,106,31,222.6
2024-08-03T09:14:18.000Z,,31,222.6
2024-08-03T09:14:19.000Z,106,31,222.6
2024-08-03T09:14:20.000Z,,31,222.6
2024-08-03T09:14:21.000Z,107,31,222.6
2024-08-03T09:14:22.000Z,,31,222.6
2024-08-03T09:14:23.000Z,105,31,222.6
2024-08-03T09:14:24.000Z,,31,222.6
2024-08-03T09:14:25.000Z,108,30,222.6
2024-08-03T09:14:26.000Z,,31,222.6
2024-08-03T09:14:27.000Z,109,30,222.6
2024-08-03T09:14:28.000Z,,30,222.6
2024-08-03T09:14:29.000Z,109,30,222.6
2024-08-03T09:14:30.000Z,,30,222.6
2024-08-03T09:14:31.000Z,111,30,222.6
2024-08-03T09:14:32.000Z,,30,222.6
2024-08-03T09:14:33.000Z,110,30,222.6
2024-08-03T09:14:34.000Z,,30,222.6
2024-08-03T09:14:35.000Z,115,30,222.6
2024-08-03T09:14:36.000Z,,30,222.6
2024-08-03T09:14:37.000Z,118,30,222.6
2024-08-03T09:14:38.000Z,,30,222.6
2024-08-03T09:14:39.000Z,117,30,222.6
2024-08-03T09:14:40.000Z,,30,222.6
2024-08-03T09:14:41.000Z,118,30,222.6
2024-08-03T09:14:42.000Z,,30,222.6
2024-08-03T09:14:43.000Z,117,30,222.6
2024-08-03T09:14:44.000Z,,30,222.6
2024-08-03T09:14:45.000Z,116,30,222.6
2024-08-03T09:14:46.000Z,,30,222.6
2024-08-03T09:14:47.000Z,116,30,222.6
2024-08-03T09:14:48.000Z,,30,222.6
2024-08-03T09:14:49.000Z,117,30,222.6
2024-08-03T09:14:50.000Z,,30,222.6
2024-08-03T09:14:51.000Z,117,30,222.6
2024-08-03T09:14:52.000Z,,30,222.6
2024-08-03T09:14:53.000Z,115,30,222.6
2024-08-03T09:14:54.000Z,,30,222.6
2024-08-03T09:14:55.000Z,113,30,222.6
2024-08-03T09:14:56.000Z,,30,222.6
2024-08-03T09:14:57.000Z,113,30,222.6
2024-08-03T09:14:58.000Z,,30,222.6
2024-08-03T09:14:59.000Z,113,30,222.6
2024-08-03T09:15:00.000Z,,30,222.6
2024-08-03T09:15:01.000Z,116,30,222.6
2024-08-03T09:15:02.000Z,,30,222.6
2024-08-03T09:15:03.000Z,115,30,222.6
2024-08-03T09:15:04.000Z,,30,222.6
2024-08-03T09:15:05.000Z,116,30,222.6
2024-08-03T09:15:06.000Z,,30,222.6
2024-08-03T09:15:07.000Z,118,30,222.6
2024-08-03T09:15:08.000Z,,30,222.6
2024-08-03T09:15:09.000Z,117,30,222.6
2024-08-03T09:15:10.000Z,,30,222.6
2024-08-03T09:15:11.000Z,118,30,222.6
2024-08-03T09:15:12.000Z,,30,222.6
2024-08-03T09:15:13.000Z,118,30,222.6
2024-08-03T09:15:14.000Z,,30,222.6
2024-08-03T09:15:15.000Z,120,30,222.6
2024-08-03T09:15:16.000Z,,30,222.6
2024-08-03T09:15:17.000Z,121,30,222.6
2024-08-03T09:15:18.000Z,,30,222.6
2024-08-03T09:15:19.000Z,121,30,222.6
2024-08-03T09:15:20.000Z,,30,222.6
2024-08-03T09:15:21.000Z,118,30,222.6
2024-08-03T09:15:22.000Z,,30,222.6
2024-08-03T09:15:23.000Z,118,30,222.6
2024-08-03T09:15:24.000Z,,30,222.6
2024-08-03T09:15:25.000Z,118,30,222.6
2024-08-03T09:15:26.000Z,,30,222.6
2024-08-03T09:15:27.000Z,117,30,222.6
2024-08-03T09:15:28.000Z,,30,222.6
2024-08-03T09:15:29.000Z,115,30,222.6
2024-08-03T09:15:30.000Z,,30,222.6
2024-08-03T09:15:31.000Z,116,30,222.6
2024-08-03T09:15:32.000Z,,30,222.6
2024-08-03T09:15:33.000Z,116,30,222.6
2024-08-03T09:15:34.000Z,,30,222.6
2024-08-03T09:15:35.000Z,117,30,222.6
2024-08-03T09:15:36.000Z,,30,222.6
2024-08-03T09:15:37.000Z,117,30,222.6
2024-08-03T09:15:38.000Z,,30,222.6
2024-08-03T09:15:39.000Z,116,30,222.6
2024-08-03T09:15:40.000Z,,30,222.6
2024-08-03T09:15:41.000Z,117,30,222.6
2024-08-03T09:15:42.000Z,,30,222.6
2024-08-03T09:15:43.000Z,117,30,222.6
2024-08-03T09:15:44.000Z,,30,222.6
2024-08-03T09:15:45.000Z,118,30,222.6
2024-08-03T09:15:46.000Z,,30,222.6
2024-08-03T09:15:47.000Z,117,30,222.6
2024-08-03T09:15:48.000Z,,30,222.6
2024-08-03T09:15:49.000Z,116,30,222.6
2024-08-03T09:15:50.000Z,,30,222.6
2024-08-03T09:15:51.000Z,114,30,222.6
2024-08-03T09:15:52.000Z,,30,222.6
2024-08-03T09:15:53.000Z,113,30,222.6
2024-08-03T09:15:54.000Z,,30,222.6
2024-08-03T09:15:55.000Z,111,30,222.6
2024-08-03T09:15:56.000Z,,30,222.6
2024-08-03T09:15:57.000Z,111,30,222.6
2024-08-03T09:15:58.000Z,,30,222.6
2024-08-03T09:15:59.000Z,107,30,222.6
2024-08-03T09:16:00.000Z,,30,222.6
2024-08-03T09:16:01.000Z,105,30,222.6
2024-08-03T09:16:02.000Z,,30,222.6
2024-08-03T09:16:03.000Z,102,30,222.6
2024-08-03T09:16:04.000Z,,30,222.6
2024-08-03T09:16:05.000Z,101,30,222.6
2024-08-03T09:16:06.000Z,,30,222.6
2024-08-03T09:16:07.000Z,98,30,222.6
2024-08-03T09:16:08.000Z,,30,222.6
2024-08-03T09:16:09.000Z,99,30,222.6
2024-08-03T09:16:10.000Z,,30,222.6
2024-08-03T09:16:11.000Z,102,30,222.6
2024-08-03T09:16:12.000Z,,30,222.6
2024-08-03T09:16:13.000Z,103,30,222.6
2024-08-03T09:16:14.000Z,,30,222.6
2024-08-03T09:16:15.000Z,104,30,222.6
2024-08-03T09:16:16.000Z,,30,222.6
2024-08-03T09:16:17.000Z,105,30,222.6
2024-08-03T09:16:18.000Z,,30,222.6
2024-08-03T09:16:19.000Z,105,30,222.6
2024-08-03T09:16:20.000Z,,30,222.6
2024-08-03T09:16:21.000Z,106,30,222.6
2024-08-03T09:16:22.000Z,,30,222.6
2024-08-03T09:16:23.000Z,107,30,222.6
2024-08-03T09:16:24.000Z,,30,222.6
2024-08-03T09:16:25.000Z,108,30,222.6
2024-08-03T09:16:26.000Z,,30,222.6
2024-08-03T09:16:27.000Z,110,30,222.6
2024-08-03T09:16:28.000Z,,30,222.6
2024-08-03T09:16:29.000Z,110,30,222.6
2024-08-03T09:16:30.000Z,,30,222.6
2024-08-03T09:16:31.000Z,112,30,222.6
2024-08-03T09:16:32.000Z,,30,222.6
2024-08-03T09:16:33.000Z,112,30,222.6
2024-08-03T09:16:34.000Z,,30,222.6
2024-08-03T09:16:35.000Z,111,30,222.6
2024-08-03T09:16:36.000Z,,30,222.6
2024-08-03T09:16:37.000Z,111,30,222.6
2024-08-03T09:16:38.000Z,,30,222.6
2024-08-03T09:16:39.000Z,109,30,222.6
2024-08-03T09:16:40.000Z,,30,222.6
2024-08-03T09:16:41.000Z,108,30,222.6
2024-08-03T09:16:42.000Z,,30,222.6
2024-08-03T09:16:43.000Z,108,30,222.6
2024-08-03T09:16:44.000Z,,30,222.6
2024-08-03T09:16:45.000Z,106,30,222.6
2024-08-03T09:16:46.000Z,,30,222.6
2024-08-03T09:16:47.000Z,106,30,222.6
2024-08-03T09:16:48.000Z,,30,222.6
2024-08-03T09:16:49.000Z,105,30,222.6
2024-08-03T09:16:50.000Z,,30,222.6
2024-08-03T09:16:51.000Z,104,30,222.6
2024-08-03T09:16:52.000Z,,30,222.6
2024-08-03T09:16:53.000Z,105,30,222.6
2024-08-03T09:16:54.000Z,,30,222.6
2024-08-03T09:16:55.000Z,102,30,222.6
2024-08-03T09:16:56.000Z,,30,222.6
2024-08-03T09:16:57.000Z,100,30,222.6
2024-08-03T09:16:58.000Z,,30,222.6
2024-08-03T09:16:59.000Z,100,30,222.6
2024-08-03T09:17:00.000Z,,30,222.6
2024-08-03T09:17:01.000Z,98,30,222.6
